parent,specific,generic
110116106,怀北,镇
110116107,汤河口,镇
110116108,渤海,镇
110116109,九渡河,镇
110116110,琉璃庙,镇
110116111,宝山,镇
110116211,长哨营|满族,乡
110116213,喇叭沟门|满族,乡
110117001,滨河,街道
110117002,兴谷,街道
110117003,平谷,镇
110117004,峪口,镇
110117005,马坊,镇
110117006,金海湖,镇
110117101,东高村,镇
110117102,山东庄,镇
110117104,南独乐河,镇
110117105,大华山,镇
110117106,夏各庄,镇
110117108,马昌营,镇
110117110,王辛庄,镇
110117111,大兴庄,镇
110117112,刘家店,镇
110117114,镇罗营,镇
110117213,黄松峪,乡
110117214,熊儿寨,乡
110118001,鼓楼,街道
110118002,果园,街道
110118003,檀营|满族|蒙古族,乡
110118100,密云,镇
110118101,溪翁庄,镇
110118102,西田各庄,镇
110118103,十里堡,镇
110118104,河南寨,镇
110118105,巨各庄,镇
110118106,穆家峪,镇
110118107,太师屯,镇
110118108,高岭,镇
110118109,不老屯,镇
110118110,冯家峪,镇
110118111,古北口,镇
110118112,大城子,镇
110118113,东邵渠,镇
110118114,北庄,镇
110118115,新城子,镇
110118116,石城,镇
110119001,百泉,街道
110119002,香水园,街道
110119003,儒林,街道
110119100,延庆,镇
110119101,康庄,镇
110119102,八达岭,镇
110119103,永宁,镇
110119104,旧县,镇
110119105,张山营,镇
110119106,四海,镇
110119107,千家店,镇
110119108,沈家营,镇
110119109,大榆树,镇
110119110,井庄,镇
110119200,大庄科,乡
110119201,刘斌堡,乡
110119202,香营,乡
110119203,珍珠泉,乡
120101001,劝业场,街道
120101002,小白楼,街道
120101003,五大道,街道
120101004,新兴,街道
120101005,南营门,街道
120101006,南市,街道
120102001,大王庄,街道
120102002,大直沽,街道
120102003,中山门,街道
120102004,富民路,街道
120102005,二号桥,街道
120102006,春华,街道
120102007,唐家口,街道
120102008,向阳楼,街道
120102009,常州道,街道
120102010,上杭路,街道
120102011,东新,街道
120102012,鲁山道,街道
120102013,天津铁厂,街道
120103001,大营门,街道
120103002,下瓦房,街道
120103003,桃园,街道
120103004,挂甲寺,街道
120103005,马场,街道
120103006,越秀路,街道
120103007,友谊路,街道
120103008,天塔,街道
120103009,尖山,街道
120103010,陈塘庄,街道
120103011,柳林,街道
120103012,东海,街道
120103013,梅江,街道
120103014,太湖路,街道
120104001,长虹,街道
120104002,鼓楼,街道
120104003,兴南,街道
120104004,广开,街道
120104005,万兴,街道
120104006,学府,街道
120104007,向阳路,街道
120104008,嘉陵道,街道
120104009,王顶堤,街道
120104010,水上公园,街道
120104011,体育中心,街道
120104012,华苑,街道
120105001,光复道,街道
120105002,望海楼,街道
120105003,鸿顺里,街道
120105004,新开河,街道
120105005,铁东路,街道
120105006,建昌道,街道
120105007,宁园,街道
120105008,王串场,街道
120105009,江都路,街道
120105010,月牙河,街道
120106001,西于庄,街道
120106003,咸阳北路,街道
120106004,丁字沽,街道
120106005,西沽,街道
120106006,三条石,街道
120106008,邵公庄,街道
120106009,芥园,街道
120106010,铃铛阁,街道
120106012,和苑,街道
120110001,张贵庄,街道
120110002,丰年村,街道
120110003,万新,街道
120110004,无瑕,街道
120110005,新立,街道
120110006,华明,街道
120110007,金钟,街道
120110008,军粮城,街道
120110009,金桥,街道
120110010,东丽湖,街道
120110011,华新,街道
120111001,西营门,街道
120111002,李七庄,街道
120111003,赤龙南,街道
120111004,赤龙北,街道
120111005,津门湖,街道
120111100,中北,镇
120111101,杨柳青,镇
120111102,辛口,镇
120111103,张家窝,镇
120111104,精武,镇
120111105,大寺,镇
120111106,王稳庄,镇
120112001,双新,街道
120112002,双林,街道
120112003,海棠,街道
120112100,咸水沽,镇
120112101,葛沽,镇
120112102,小站,镇
120112103,双港,镇
120112104,辛庄,镇
120112106,双桥河,镇
120112107,八里台,镇
120112108,北闸口,镇
120113001,果园新村,街道
120113002,集贤里,街道
120113003,普东,街道
120113004,瑞景,街道
120113005,佳荣里,街道
120113006,青源,街道
120113007,广源,街道
120113008,双环邨,街道
120113100,天穆,镇
120113101,北仓,镇
120113102,双街,镇
120113103,双口,镇
120113104,青光,镇
120113106,宜兴埠,镇
120113107,小淀,镇
120113108,大张庄,镇
120113111,西堤头,镇
120114001,杨村,街道
120114002,下朱庄,街道
120114003,东蒲洼,街道
120114004,黄庄,街道
120114005,徐官屯,街道
120114006,运河西,街道
120114101,梅厂,镇
120114102,大碱厂,镇
120114103,崔黄口,镇
120114104,大良,镇
120114105,下伍旗,镇
120114106,南蔡村,镇
120114107,大孟庄,镇
120114108,泗村店,镇
120114109,河西务,镇
120114110,城关,镇
120114111,东马圈,镇
120114112,黄花店,镇
120114113,石各庄,镇
120114114,王庆坨,镇
120114115,汊沽港,镇
120114116,河北屯,镇
120114117,上马台,镇
120114118,大王古庄,镇
120114119,陈咀,镇
120114120,白古屯,镇
120114121,曹子里,镇
120114122,大黄堡,镇
120114123,豆张庄,镇
120114124,高村,镇
120115001,海滨,街道
120115002,宝平,街道
120115003,钰华,街道
120115004,周良,街道
120115007,朝霞,街道
120115008,潮阳,街道
120115101,大口屯,镇
120115103,王卜庄,镇
120115104,方家庄,镇
120115105,林亭口,镇
120115106,八门城,镇
120115107,大钟庄,镇
120115108,新安,镇
120115111,霍各庄,镇
120115113,新开口,镇
120115115,大唐庄,镇
120115119,牛道口,镇
120115120,史各庄,镇
120115121,郝各庄,镇
120115123,牛家牌,镇
120115124,尔王庄,镇
120115125,黄庄,镇
120115126,口东,镇
120115127,大白庄,镇
120116005,杭州道,街道
120116006,新河,街道
120116007,大沽,街道
120116008,新北,街道
120116009,北塘,街道
120116011,胡家园,街道
120116012,泰达,街道
120116021,汉沽,街道
120116022,寨上,街道
120116033,古林,街道
120116034,海滨,街道
120116036,塘沽,街道
120116037,茶淀,街道
120116038,大港,街道
120116039,新港,街道
120116040,新村,街道
120116100,新城,镇
120116102,杨家泊,镇
120116105,太平,镇
120116106,小王庄,镇
120116107,中塘,镇
120117001,芦台,街道
120117002,桥北,街道
120117101,宁河,镇
120117102,苗庄,镇
120117103,丰台,镇
120117104,岳龙,镇
120117105,板桥,镇
120117106,潘庄,镇
120117107,造甲城,镇
120117108,七里海,镇
120117109,大北涧沽,镇
120117110,东棘坨,镇
120117111,俵口,镇
120117112,廉庄,镇
120117113,北淮淀,镇
120118001,华康,街道
120118002,朝阳,街道
120118100,静海,镇
120118101,唐官屯,镇
120118102,独流,镇
120118103,王口,镇
120118104,台头,镇
120118105,子牙,镇
120118106,陈官屯,镇
120118107,中旺,镇
120118108,大邱庄,镇
120118109,蔡公庄,镇
120118110,梁头,镇
120118111,团泊,镇
120118112,双塘,镇
120118113,大丰堆,镇
120118114,沿庄,镇
120118115,西翟庄,镇
120118200,良王庄,乡
120118201,杨成庄,乡
120119001,文昌,街道
120119100,渔阳,镇
120119101,洇溜,镇
120119102,官庄,镇
120119103,马伸桥,镇
120119104,下营,镇
120119105,邦均,镇
120119106,别山,镇
120119108,尤古庄,镇
120119109,上仓,镇
120119111,下仓,镇
120119112,罗庄子,镇
120119113,白涧,镇
120119115,侯家营,镇
120119116,桑梓,镇
120119117,东施古,镇
120119118,下窝头,镇
120119119,杨津庄,镇
120119120,出头岭,镇
120119121,西龙虎峪,镇
120119122,穿芳峪,镇
120119123,东二营,镇
120119124,许家台,镇
120119125,礼明庄,镇
120119126,东赵各庄,镇
120119127,州河湾,镇
120119203,孙各庄|满族,乡
130102001,建北,街道
130102002,青园,街道
130102003,广安,街道
130102004,育才,街道
130102005,跃进,街道
130102007,河东,街道
130102010,长丰,街道
130102011,谈固,街道
130102012,中山东路,街道
130102013,阜康,街道
130102014,建安,街道
130102015,胜北,街道
130102100,西兆通,镇
130102101,南村,镇
130102102,高营,镇
130102103,桃园,镇
130104001,东里,街道
130104002,中山,街道
130104004,南长,街道
130104005,维明,街道
130104007,友谊,街道
130104008,红旗,街道
130104009,新石,街道
130104010,苑东,街道
130104011,西里,街道
130104012,振头,街道
130104013,留营,街道
130104014,长兴,街道
130104015,东华,街道
130104016,休门,街道
130104017,彭后,街道
130104018,东风,街道
130104019,汇通,街道
130105001,革新,街道
130105003,新华路,街道
130105004,宁安,街道
130105005,东焦,街道
130105006,西苑,街道
130105007,合作路,街道
130105008,联盟,街道
130105009,石岗,街道
130105011,天苑,街道
130105012,北苑,街道
130105013,赵陵铺路,街道
130105014,赵佗路,街道
130105015,大郭,街道
130105016,西三庄,街道
130105017,杜北,街道
130107001,矿市,街道
130107002,四微,街道
130107100,贾庄,镇
130107101,凤山,镇
130107200,横涧,乡
130108001,裕兴,街道
130108002,裕强,街道
130108003,东苑,街道
130108004,建通,街道
130108005,槐底,街道
130108006,裕华路,街道
130108007,裕东,街道
130108008,长江,街道
130108009,太行,街道
130108010,裕翔,街道
130108011,建华南,街道
130108100,宋营,镇
130108101,方村,镇
130109100,廉州,镇
130109101,兴安,镇
130109102,贾市庄,镇
130109103,南营,镇
130109104,梅花,镇
130109105,岗上,镇
130109106,丘头,镇
130109107,南董,镇
130109108,张家庄,镇
130109109,南孟,镇
130109110,增村,镇
130109111,常安,镇
130109112,西关,镇
130109200,九门|回族,乡
130110100,获鹿,镇
130110101,铜冶,镇
130110102,寺家庄,镇
130110103,上庄,镇
130110104,李村,镇
130110105,宜安,镇
130110106,黄壁庄,镇
130110107,大河,镇
130110108,山尹村,镇
130110200,石井,乡
130110201,白鹿泉,乡
130110202,上寨,乡
130111100,栾城,镇
130111101,郄马,镇
130111102,冶河,镇
130111103,窦妪,镇
130111104,楼底,镇
130111200,南高,乡
130111201,柳林屯,乡
130111202,西营,乡
130121100,微水,镇
130121101,上安,镇
130121102,天长,镇
130121103,秀林,镇
130121104,南峪,镇
130121105,威州,镇
130121106,小作,镇
130121107,南障城,镇
130121108,苍岩山,镇
130121109,测鱼,镇
130121200,吴家窑,乡
130121201,北正,乡
130121202,于家,乡
130121203,孙庄,乡
130121204,南陉,乡
130121205,辛庄,乡
130121206,南王庄,乡
130123001,诸福屯,街道
130123002,三里屯,街道
130123100,正定,镇
130123102,新城铺,镇
130123103,新安,镇
130123104,南岗,镇
130123105,曲阳桥,镇
130123106,南牛,镇
130123201,南楼,乡
130123202,西平乐,乡
130125100,龙州,镇
130125101,南桥,镇
130125102,上碑,镇
130125103,口头,镇
130125104,上方,镇
130125200,独羊岗,乡
130125201,安香,乡
130125202,只里,乡
130125203,市同,乡
130125204,翟营,乡
130125205,城寨,乡
130125207,玉亭,乡
130125208,北河,乡
130125209,上阎庄,乡
130125210,九口子,乡
130126100,灵寿,镇
130126101,青同,镇
130126102,塔上,镇
130126103,陈庄,镇
130126104,慈峪,镇
130126105,岔头,镇
130126200,三圣院,乡
130126201,北洼,乡
130126202,牛城,乡
130126203,狗台,乡
130126204,南寨,乡
130126205,南燕川,乡
130126206,北谭庄,乡
130126207,寨头,乡
130126208,南营,乡
130127100,高邑,镇
130127101,大营,镇
130127102,富村,镇
130127103,万城,镇
130127104,中韩,镇
130128100,深泽,镇
130128101,铁杆,镇
130128102,赵八,镇
130128103,大桥头,镇
130128200,白庄,乡
130128201,留村,乡
130129100,赞皇,镇
130129101,院头,镇
130129102,南邢郭,镇
130129103,嶂石岩,镇
130129104,西龙门,镇
130129105,西阳泽,镇
130129106,许亭,镇
130129202,南清河,乡
130129204,土门,乡
130129205,黄北坪,乡
130129208,张楞,乡
130130100,无极,镇
130130101,七汲,镇
130130102,张段固,镇
130130103,北苏,镇
130130104,郭庄,镇
130130105,大陈,镇
130130106,里城道,镇
130130107,东侯坊,镇
130130200,高头|回族,乡
130130201,郝庄,乡
130130204,南流,乡
130131100,平山,镇
130131101,东回舍,镇
130131102,温塘,镇
130131103,南甸,镇
130131104,岗南,镇
130131105,古月,镇
130131106,下槐,镇
130131107,孟家庄,镇
130131108,小觉,镇
130131109,蛟潭庄,镇
130131110,西柏坡,镇
130131111,下口,镇
130131200,西大吾,乡
130131201,上三汲,乡
130131202,两河,乡
130131203,东王坡,乡
130131204,苏家庄,乡
130131205,宅北,乡
130131207,北冶,乡
130131209,上观音堂,乡
130131210,杨家桥,乡
130131211,营里,乡
130131212,合河口,乡
130132100,槐阳,镇
130132101,殷村,镇
130132102,南佐,镇
130132103,宋曹,镇
130132104,南因,镇
130132105,姬村,镇
130132106,北褚,镇
130132107,马村,镇
130132201,东张,乡
130132202,赵同,乡
130132204,苏村,乡
130132205,苏阳,乡
130132206,北正,乡
130132207,前仙,乡
130132208,黑水河,乡
130133100,赵州,镇
130133101,范庄,镇
